Loading weights:   0%|          | 0/393 [00:00<?, ?it/s]Loading weights: 100%|██████████| 393/393 [00:00<00:00, 4666.95it/s]
Loading data from /data2/Medical/ColonMoE/TextMining/ViHERMES/dataset/dataset.jsonl...
Embedding 1550 unique context blocks (Dense Strategy)...
 -> Embedded 16/1550
 -> Embedded 416/1550
 -> Embedded 816/1550
 -> Embedded 1216/1550
Starting execution for 1561 samples (Method: dense)...
[DENSE] Sample 267/1561 | F1: 0.47 | J: 1 | Rec: 1
[DENSE] Sample 268/1561 | F1: 0.61 | J: 1 | Rec: 1
[DENSE] Sample 269/1561 | F1: 0.29 | J: 0 | Rec: 1
[DENSE] Sample 270/1561 | F1: 0.34 | J: 1 | Rec: 1
[DENSE] Sample 271/1561 | F1: 0.53 | J: 1 | Rec: 0
[DENSE] Sample 272/1561 | F1: 0.57 | J: 1 | Rec: 1
[DENSE] Sample 273/1561 | F1: 0.32 | J: 0 | Rec: 1
[DENSE] Sample 274/1561 | F1: 0.17 | J: 0 | Rec: 0
[DENSE] Sample 275/1561 | F1: 0.79 | J: 1 | Rec: 1
[DENSE] Sample 276/1561 | F1: 0.64 | J: 1 | Rec: 1
[DENSE] Sample 277/1561 | F1: 0.57 | J: 1 | Rec: 0
[DENSE] Sample 278/1561 | F1: 0.35 | J: 1 | Rec: 0
[DENSE] Sample 279/1561 | F1: 0.65 | J: 1 | Rec: 0
[DENSE] Sample 280/1561 | F1: 0.22 | J: 1 | Rec: 0
[DENSE] Sample 281/1561 | F1: 0.68 | J: 1 | Rec: 1
[DENSE] Sample 282/1561 | F1: 0.33 | J: 1 | Rec: 1
[DENSE] Sample 283/1561 | F1: 0.26 | J: 1 | Rec: 0
[DENSE] Sample 284/1561 | F1: 0.46 | J: 1 | Rec: 1
[DENSE] Sample 285/1561 | F1: 0.29 | J: 0 | Rec: 0
[DENSE] Sample 286/1561 | F1: 0.27 | J: 0 | Rec: 0
[DENSE] Sample 287/1561 | F1: 0.19 | J: 0 | Rec: 0
[DENSE] Sample 288/1561 | F1: 0.30 | J: 0 | Rec: 0
[DENSE] Sample 289/1561 | F1: 0.41 | J: 1 | Rec: 0
[DENSE] Sample 290/1561 | F1: 0.41 | J: 0 | Rec: 0
[DENSE] Sample 291/1561 | F1: 0.94 | J: 1 | Rec: 1
[DENSE] Sample 292/1561 | F1: 0.51 | J: 1 | Rec: 1
[DENSE] Sample 293/1561 | F1: 0.78 | J: 1 | Rec: 1
[DENSE] Sample 294/1561 | F1: 0.56 | J: 1 | Rec: 0
[DENSE] Sample 295/1561 | F1: 0.40 | J: 1 | Rec: 1
[DENSE] Sample 296/1561 | F1: 0.39 | J: 1 | Rec: 1
[DENSE] Sample 297/1561 | F1: 0.40 | J: 1 | Rec: 1
[DENSE] Sample 298/1561 | F1: 0.30 | J: 0 | Rec: 0
[DENSE] Sample 299/1561 | F1: 0.45 | J: 0 | Rec: 1
[DENSE] Sample 300/1561 | F1: 0.37 | J: 0 | Rec: 0
[DENSE] Sample 301/1561 | F1: 0.42 | J: 1 | Rec: 0
[DENSE] Sample 302/1561 | F1: 0.38 | J: 1 | Rec: 0
